0	42575009	萝卜头蓝天	0.749842	0.749842	[18]	为什么那么多人觉得鸿蒙是换皮安卓？	294.0	1.0	15674,18172	493.0
1	42614909	Rosie朴彩英基地	0.143935	0.143935	[36]	你们觉得梅西最后会去美国踢球吗	184.0	2.0	26946,42859	1.0
2	42611425	安危谁与共T风雨忆同舟	0.705140	0.634626	[24]	疑似在三亚遇到了邹雨宸	173.0	2.0	43398,28489	208.0
3	42599187	南瓜先森	0.500885	0.500885	[18]	各位马克高玩过来看看	88.0	3.0	18044	84.0
4	42578584	大湾区非著名渣男	0.470276	0.470276	[18]	冷门小Q3入手小记	278.0	2.0	0	178.0
5	42612277	我和林允儿姐弟恋	0.432287	0.432287	[17]	鹿晗一人之下	59.0	2.0	17640	40.0
6	145222	NaN	0.153348	29.902824	[0]	NaN	NaN	NaN	NaN	NaN
7	42611665	Zeratul1	0.353728	0.353728	[23]	鸿蒙推出后，能不能跟安卓，ios分庭抗礼？	1.0	1.0	15674,42780,18172	234.0
8	42573030	搬运基地	0.434426	0.390984	[24]	不要试图去感动一个女孩子	3.0	3.0	0	284.0
9	42614700	我不做瓜哥好多年	0.143935	0.143935	[36]	张镇麟超时三分慢动作gif	173.0	3.0	36788	1.0
10	42604793	小华711	0.366596	0.366596	[18]	杨超越五月行程图	59.0	2.0	18248	90.0
11	42590144	红烧排骨给我一块	0.346706	0.346706	[18]	前任闪婚了	6.0	1.0	26587	626.0
12	42591019	化而丶为鹏	0.322435	0.322435	[18]	更新鸿蒙啦	294.0	2.0	15674	174.0
13	145512	NaN	0.152775	29.791164	[0]	NaN	NaN	NaN	NaN	NaN
14	42604855	枫潇潇汐	0.376084	0.338476	[24]	这举办婚礼的场面什么水平？	3.0	3.0	19432	536.0
15	42609922	虎扑JR1324071956	0.302815	0.302815	[23, 24]	喜欢上老师，真的想再见她一面，急哭了	1.0	2.0	0	1312.0
16	42605610	追风骑士123	0.295218	0.295218	[18, 24]	双马尾赵粤造型	59.0	2.0	29840	167.0
17	42590402	MOTHER法克儿	0.284703	0.284703	[18]	终究是她输了	6.0	2.0	0	144.0
18	42583048	凑合过吧还能离是咋滴	0.313765	0.313765	[17]	极限求生!你能撑过哪一关?	1.0	3.0	327191,22185,45039	265.0
19	42588290	晨光小肥仔	0.314658	0.283192	[18]	当年背到崩溃，如今慢慢遗忘的古文。	12.0	2.0	81600	336.0
20	145134	NaN	0.152775	29.791164	[0]	NaN	NaN	NaN	NaN	NaN
