0	42575009	萝卜头蓝天	0.744565	0.744565	[18]	为什么那么多人觉得鸿蒙是换皮安卓？	294.0	1.0	15674,18172	491.0
1	42614952	MrTimeless	0.122270	0.122270	[36]	求问奔驰GLB	278.0	2.0	0	0.0
2	42611425	安危谁与共T风雨忆同舟	0.676630	0.608967	[24]	疑似在三亚遇到了邹雨宸	173.0	2.0	43398,28489	202.0
3	42599187	南瓜先森	0.526217	0.526217	[18]	各位马克高玩过来看看	88.0	3.0	18044	84.0
4	42578584	大湾区非著名渣男	0.471965	0.471965	[18]	冷门小Q3入手小记	278.0	2.0	0	178.0
5	42495256	努力翻身的咸鱼啊	0.470034	0.470034	[17]	这两个学校差距大么	10.0	1.0	32688	106.0
6	145222	NaN	0.153348	29.902824	[0]	NaN	NaN	NaN	NaN	NaN
7	42557422	无圣与古蛇	0.365304	0.365304	[17]	鸿蒙系统动图	294.0	2.0	15674,20795	258.0
8	42573030	搬运基地	0.441933	0.397739	[17, 24]	不要试图去感动一个女孩子	3.0	3.0	0	283.0
9	42614778	wendy张j	0.122270	0.122270	[36]	防一血奔驰E300L豪华提车帖	278.0	2.0	23999	1.0
10	42573817	小小的小小小的	0.363880	0.363880	[17]	篮网这个球员哪去了？	135.0	2.0	23124,38103	229.0
11	42604793	小华711	0.355326	0.355326	[18]	杨超越五月行程图	59.0	2.0	18248	89.0
12	42590144	红烧排骨给我一块	0.352241	0.352241	[18]	前任闪婚了	6.0	1.0	26587	622.0
13	145134	NaN	0.152775	29.791170	[0]	NaN	NaN	NaN	NaN	NaN
14	42547695	冰帝迹部	0.419741	0.377767	[17]	这是咋的了？	3.0	3.0	0	225.0
15	42585758	图拉丁plus	0.382887	0.344598	[17]	坎特＋德布劳内，这组合能乱杀吗？	184.0	2.0	24997,33162,43326	108.0
16	42536987	你说拉风就拉风吗	0.329708	0.329708	[17]	特斯拉微博晒了一堆奶茶零食夸自己	278.0	2.0	38071,42702	124.0
17	42591019	化而丶为鹏	0.320067	0.320067	[18]	更新鸿蒙啦	294.0	2.0	15674	174.0
18	42604855	枫潇潇汐	0.370403	0.333363	[24]	这举办婚礼的场面什么水平？	3.0	3.0	19432	534.0
19	42601967	upgodbili幫	0.305653	0.305653	[18]	不懂就问，北京深圳上海杭州，哪个互联网更强？	1.0	1.0	42944,42772,42821,42727,31503	434.0
20	145512	NaN	0.152775	29.791164	[0]	NaN	NaN	NaN	NaN	NaN
21	42522786	南方知我	0.299858	0.299858	[17]	一人一句，觉得你们前任是怎样的。我先来。	6.0	1.0	26587	353.0
22	42605610	追风骑士123	0.299032	0.299032	[18, 24]	双马尾赵粤造型	59.0	2.0	29840	165.0
23	42583441	76人哈登sun池田依来沙	0.302661	0.302661	[17, 18]	各位jr这眼皮上是啥	1.0	2.0	0	270.0
24	42590402	MOTHER法克儿	0.295738	0.295738	[18]	终究是她输了	6.0	2.0	0	144.0
25	42588290	晨光小肥仔	0.315872	0.284285	[18]	当年背到崩溃，如今慢慢遗忘的古文。	12.0	2.0	81600	334.0
26	42586617	凑合过吧还能离是咋滴	0.297794	0.297794	[18]	如果可以和动漫里的人物谈恋爱，你会选谁？	1.0	1.0	28931	869.0
27	145133	NaN	0.092993	18.133558	[0]	NaN	NaN	NaN	NaN	NaN
28	42576182	RP8520123	0.293365	0.293365	[18]	什么样的前任忘不了？	6.0	1.0	26587	215.0
29	42592878	真猪奶茶半糖去冰	0.281847	0.281847	[18]	在职考公进面，却去不了面试	10.0	2.0	32491	211.0
30	42609922	虎扑JR1324071956	0.292781	0.292781	[24]	喜欢上老师，真的想再见她一面，急哭了	1.0	2.0	0	1288.0
31	42604178	其实我叫吴彦祖	0.280670	0.280670	[18]	白色boots如何回春？？？	255.0	2.0	60979,32295	136.0
32	42568303	快雪晴时	0.279824	0.279824	[18]	小米12.5就我遇到这个bug吗？	294.0	2.0	29564	55.0
33	42601593	DNF你放哪	0.310820	0.279738	[18, 24]	这应该是最诡异的进球之一了吧	184.0	3.0	0	243.0
34	145126	NaN	0.082349	16.057993	[0]	NaN	NaN	NaN	NaN	NaN
35	42597119	幺两拐洞拐	0.307685	0.276916	[17]	提前进线？？？	173.0	2.0	0	227.0
36	42599298	低调的低调1	0.276327	0.276327	[18]	都说银行苦，我来说几句	10.0	2.0	33617	248.0
37	42543227	选择题基地	0.275509	0.275509	[17]	第十四题，火辣的杨幂，是你喜欢的类型吗？	1.0	2.0	29967	26.0
38	42560616	Kin0119	0.271389	0.271389	[18]	xdm 这个冲得不！！！	294.0	2.0	0	16.0
39	42601821	o北派四叔o	0.268695	0.268695	[18]	精装房卫生间马桶边没有插座怎么处理	13.0	1.0	38521,47290,39983	28.0
40	42611012	今晚绝杀	0.268004	0.268004	[24]	分手的路上	6.0	2.0	0	893.0
41	145318	NaN	0.081601	15.912130	[0]	NaN	NaN	NaN	NaN	NaN
42	42607114	玉玉玉玉玉玉儿	0.259610	0.259610	[17]	94年老姑娘寻个jr	1.0	2.0	0	156.0
43	42582088	棒棒糖放映室	0.257348	0.257348	[18]	汇车时驾驶员以为对向车道开着远光灯，提醒他闪了两下，没想到人家把真的#远光灯 打	572.0	3.0	21248,37263	53.0
44	42561832	imp226	0.284872	0.256384	[17]	今天学校表白墙炸了家人们	11.0	2.0	32688	214.0
45	42578718	虎扑JR0114467670	0.252352	0.252352	[18]	恋爱好难，好难	6.0	2.0	32185	99.0
46	42507818	飞侠之冠24	0.275670	0.248103	[17]	梁博这三首歌，真的是yyds	63.0	1.0	39564,84735	166.0
47	42602766	冰帝迹部	0.280594	0.252535	[18]	这位小哥，什么水平？	3.0	3.0	0	130.0
48	145227	NaN	0.056369	10.991863	[0]	NaN	NaN	NaN	NaN	NaN
49	42597203	睡醒了就去搞学习	0.246424	0.246424	[18]	跟前任和平分手后，是否有必要吃最后一顿散伙饭	6.0	2.0	26587	242.0
50	42602287	hongjin1111	0.236914	0.236914	[18]	外环高速亲眼目睹怒怼加塞，大快人心	278.0	2.0	0	136.0
51	42590660	男德学院留级生	0.235659	0.235659	[17]	汉堡王好恶心啊，我要吐了啊	1.0	2.0	25808	215.0
52	42603897	顶级男神	0.306915	0.245532	[18, 24]	这是我个人心中最符合吕布的演员，没有任何之一	59.0	3.0	32905	258.0
